Age_BP,Temp_Delta
0.0,-0.07
0.014,-0.01
0.032,0.07
0.051,0.07
0.069,0.02
0.089,-0.02
0.108,-0.06
0.128,-0.1
0.149,-0.24
0.17,-0.36
0.191,-0.46
0.213,-0.55
0.235,-0.56
0.257,-0.51
0.28,-0.4
0.303,-0.27
0.327,-0.15
0.351,-0.09
0.375,-0.08
0.4,-0.08
0.425,-0.07
0.451,-0.04
0.477,-0.1
0.503,-0.29
0.53,-0.45
0.557,-0.52
0.584,-0.59
0.612,-0.64
0.64,-0.7
0.669,-0.66
0.697,-0.54
0.727,-0.47
0.756,-0.43
0.786,-0.37
0.816,-0.35
0.846,-0.38
0.877,-0.37
0.908,-0.29
0.94,-0.19
0.972,-0.17
1.004,-0.18
1.036,-0.25
1.069,-0.37
1.102,-0.46
1.135,-0.46
1.168,-0.44
1.202,-0.44
1.236,-0.41
1.271,-0.37
1.305,-0.33
1.34,-0.31
1.375,-0.3
1.411,-0.29
1.446,-0.27
1.482,-0.33
1.518,-0.46
1.554,-0.54
1.591,-0.63
1.627,-0.73
1.664,-0.81
1.701,-0.79
1.739,-0.65
1.776,-0.51
1.814,-0.51
1.852,-0.46
1.89,-0.34
1.928,-0.26
1.966,-0.17
2.005,-0.16
2.043,-0.2
2.082,-0.17
2.121,-0.15
2.161,-0.22
2.2,-0.28
2.239,-0.24
2.279,-0.18
2.319,-0.19
2.359,-0.22
2.399,-0.27
2.439,-0.27
2.48,-0.27
2.521,-0.31
2.561,-0.35
2.602,-0.38
2.643,-0.41
2.684,-0.4
2.725,-0.38
2.767,-0.46
2.808,-0.46
2.85,-0.42
2.892,-0.41
2.934,-0.33
2.975,-0.26
3.017,-0.2
3.06,-0.12
3.102,-0.13
3.144,-0.19
3.186,-0.18
3.229,-0.06
3.271,0.02
3.314,-0.01
3.356,-0.04
3.399,-0.02
3.441,0.02
3.484,0.06
3.526,0.07
3.569,0.11
3.612,0.12
3.655,0.05
3.698,-0.06
3.741,-0.18
3.784,-0.29
3.827,-0.38
3.87,-0.47
3.913,-0.55
3.957,-0.5
4.0,-0.34
4.043,-0.12
4.087,0.11
4.13,0.28
4.174,0.39
4.217,0.54
4.261,0.66
4.304,0.68
4.348,0.65
4.391,0.55
4.435,0.37
4.479,0.17
4.523,-0.02
4.566,-0.19
4.61,-0.29
4.654,-0.31
4.698,-0.31
4.742,-0.31
4.786,-0.27
4.83,-0.19
4.874,-0.1
4.918,-0.03
4.963,0.02
5.007,0.07
5.051,0.12
5.096,0.21
5.14,0.27
5.185,0.23
5.229,0.16
5.274,0.15
5.319,0.12
5.363,0.06
5.408,0.04
5.453,0.02
5.498,-0.01
5.543,-0.03
5.588,-0.05
5.633,-0.01
5.678,0.08
5.723,0.13
5.768,0.15
5.813,0.15
5.859,0.11
5.904,0.01
5.949,-0.11
5.995,-0.21
6.041,-0.26
6.086,-0.26
6.132,-0.26
6.178,-0.27
6.223,-0.27
6.269,-0.26
6.315,-0.22
6.361,-0.2
6.407,-0.22
6.453,-0.27
6.499,-0.32
6.545,-0.31
6.59,-0.31
6.636,-0.37
6.682,-0.41
6.728,-0.41
6.774,-0.37
6.82,-0.33
6.866,-0.26
6.912,-0.12
6.957,-0.03
7.003,0.03
7.049,0.09
7.095,0.13
7.141,0.17
7.186,0.21
7.232,0.18
7.278,0.06
7.323,-0.02
7.369,-0.03
7.415,-0.02
7.46,-0.03
7.506,-0.07
7.551,-0.12
7.597,-0.16
7.642,-0.15
7.688,-0.1
7.733,-0.05
7.779,0.03
7.824,0.04
7.869,0.01
7.915,0.0
7.961,-0.03
8.006,-0.05
8.052,-0.05
8.097,-0.05
8.142,-0.03
8.188,0.0
8.233,0.04
8.278,0.11
8.323,0.1
8.369,0.01
8.414,-0.02
8.459,-0.01
8.504,0.04
8.549,0.07
8.594,0.1
8.639,0.1
8.684,0.05
8.729,0.04
8.773,0.08
8.818,0.16
8.863,0.27
8.908,0.31
8.952,0.3
8.997,0.32
9.041,0.3
9.086,0.27
9.13,0.28
9.175,0.26
9.219,0.19
9.264,0.12
9.308,0.13
9.353,0.18
9.397,0.18
9.442,0.17
9.486,0.17
9.53,0.2
9.575,0.25
9.619,0.3
9.663,0.35
9.708,0.34
9.752,0.25
9.797,0.19
9.841,0.12
9.886,0.06
9.93,0.02
9.975,-0.02
10.019,-0.03
10.064,-0.02
10.109,-0.04
10.153,0.01
10.198,0.14
10.243,0.24
10.289,0.3
10.334,0.37
10.379,0.49
10.425,0.6
10.471,0.66
10.517,0.69
10.563,0.66
10.61,0.59
10.656,0.49
10.704,0.39
10.751,0.27
10.798,0.07
10.846,-0.14
10.895,-0.32
10.943,-0.51
10.992,-0.72
11.041,-0.86
11.091,-0.95
11.14,-0.98
11.191,-1.07
11.241,-1.2
11.292,-1.29
11.344,-1.36
11.395,-1.49
11.448,-1.64
11.5,-1.78
11.553,-1.91
11.607,-2.01
11.66,-2.1
11.715,-2.16
11.769,-2.21
11.824,-2.22
11.879,-2.23
11.935,-2.2
11.991,-2.19
12.047,-2.22
12.103,-2.19
12.16,-2.13
12.217,-2.13
12.274,-2.18
12.331,-2.21
12.388,-2.27
12.446,-2.35
12.503,-2.46
12.561,-2.55
12.619,-2.52
12.677,-2.43
12.735,-2.32
12.793,-2.22
12.852,-2.13
12.91,-2.07
12.969,-2.05
13.028,-2.04
13.087,-2.08
13.146,-2.17
13.205,-2.24
13.265,-2.34
13.325,-2.5
13.385,-2.69
13.445,-2.86
13.505,-2.95
13.566,-3.0
13.627,-3.03
13.688,-2.98
13.749,-2.89
13.811,-2.83
13.873,-2.83
13.935,-2.91
13.998,-3.04
14.06,-3.12
14.123,-3.2
14.187,-3.29
14.25,-3.38
14.314,-3.47
14.379,-3.58
14.443,-3.64
14.508,-3.67
14.574,-3.73
14.64,-3.79
14.706,-3.81
14.773,-3.83
14.84,-3.85
14.908,-3.87
14.976,-3.92
15.045,-3.97
15.114,-4.05
15.183,-4.16
15.253,-4.26
15.324,-4.32
15.395,-4.36
15.467,-4.42
15.539,-4.53
15.612,-4.67
15.685,-4.83
15.759,-4.96
15.833,-5.06
15.908,-5.16
15.983,-5.27
16.059,-5.39
16.135,-5.45
16.212,-5.51
16.289,-5.58
16.367,-5.61
16.445,-5.61
16.524,-5.59
16.603,-5.56
16.682,-5.56
16.761,-5.59
16.841,-5.61
16.922,-5.65
17.002,-5.69
17.083,-5.73
17.164,-5.77
17.245,-5.81
17.327,-5.84
17.409,-5.86
17.491,-5.89
17.573,-5.92
17.655,-5.93
17.737,-5.92
17.819,-5.9
17.902,-5.87
17.984,-5.8
18.067,-5.74
18.15,-5.69
18.232,-5.66
18.315,-5.65
18.397,-5.63
18.48,-5.64
18.562,-5.68
18.645,-5.74
18.727,-5.79
18.809,-5.82
18.891,-5.85
18.974,-5.83
19.056,-5.78
19.138,-5.76
19.22,-5.73
19.302,-5.67
19.383,-5.6
19.465,-5.54
19.547,-5.5
19.629,-5.48
19.71,-5.49
19.792,-5.51
19.873,-5.57
19.955,-5.61
20.036,-5.63
20.118,-5.58
20.199,-5.54
20.28,-5.51
20.362,-5.48
20.443,-5.46
20.525,-5.42
20.606,-5.39
20.687,-5.39
20.769,-5.4
20.85,-5.42
20.932,-5.46
21.013,-5.5
21.095,-5.57
21.177,-5.67
21.259,-5.75
21.34,-5.81
21.422,-5.84
21.504,-5.83
21.586,-5.8
21.669,-5.77
21.751,-5.74
21.833,-5.74
21.916,-5.74
21.998,-5.73
22.081,-5.72
22.163,-5.73
22.246,-5.77
22.328,-5.84
22.411,-5.86
22.494,-5.83
22.576,-5.83
22.659,-5.84
22.741,-5.84
22.824,-5.82
22.906,-5.79
22.989,-5.74
23.071,-5.68
23.154,-5.63
23.236,-5.57
23.319,-5.52
23.401,-5.47
23.483,-5.4
23.565,-5.34
23.648,-5.3
23.73,-5.26
23.812,-5.26
23.894,-5.3
23.976,-5.34
24.057,-5.39
24.139,-5.43
24.221,-5.46
24.302,-5.51
24.384,-5.5
24.466,-5.45
24.547,-5.4
24.629,-5.32
24.71,-5.24
24.792,-5.15
24.874,-5.11
24.956,-5.13
25.038,-5.14
25.12,-5.17
25.202,-5.18
25.284,-5.22
25.366,-5.29
25.448,-5.37
25.531,-5.44
25.613,-5.53
25.696,-5.61
25.778,-5.69
25.861,-5.77
25.944,-5.82
26.027,-5.87
26.11,-5.9
26.193,-5.93
26.276,-5.98
26.359,-6.0
26.442,-5.97
26.526,-5.95
26.609,-5.92
26.692,-5.87
26.776,-5.8
26.859,-5.72
26.942,-5.68
27.026,-5.65
27.109,-5.56
27.193,-5.41
