Dataset,Mean,Std,Hurst_Param,Trend_Param,Hurst_Match,Hurst_Target,Fractal_Match,Fractal_Target
bitcoin,104.375,0.95,1.0202079620119728,-0.00015625,0.8651899806161246,0.9774447540234469,0.9813781191217041,0.962285258586367
cosmic,99.99389233535214,0.9999791360973287,0.9780863859499022,4.294779199250497e-07,0.9618165446169733,0.9781391576047945,1.0,0.8726218159332207
geomagnetic,102.55720785215115,1.0610193469718787,1.0461924828027014,-0.0003973655745853707,0.8420335977198964,1.0,0.9813781191217041,1.0
atmospheric_noise,102.07444107066934,1.0121981769515114,1.0303360162679374,-0.00016571706303781814,0.8915762814558758,0.998125383777758,0.9908392620773747,1.0
seismic,104.03140068024629,0.9752526283234555,0.6162336147336196,0.00012912893298020194,0.5980312819288365,0.6246668700668442,0.9908392620773747,0.8726218159332207
ice_core,103.7500000830004,1.0375000011709798,1.0363317625790587,-0.00012500001475001355,0.8635010491558833,0.9988739879468437,1.0,1.0
lorenz,100.95242197694228,0.9781713924793025,1.0944052084744564,-0.0002938911250873435,0.8860367864159249,0.9985586726790684,0.9908392620773747,1.0
geyser,102.52074271440506,0.9548054039478302,1.0202523262647323,0.00010258559882640839,0.8558458625300553,0.9974720831469707,0.9908392620773747,1.0
sea_level,95.6717491157477,1.0331888198887187,1.0313393395978714,0.0001718339919850738,0.7829328967869497,0.9964329784014072,0.9208234358339796,1.0
prime,103.79516601554315,1.021545410157339,1.0055053710925077,-0.00020983886718558734,0.9569697820748655,1.0,0.9416665599935458,1.0
xylem,95.19006006756877,0.9891552001776573,1.0005550173532347,0.0003793098142178761,0.8688982851846985,0.998125383777758,1.0,1.0
prime_gaps,100.00871282070875,1.000057496782392,1.0459253600209375,-6.067981012165546e-07,0.784655345763086,0.9964329784014101,0.9720671786825559,1.0
hydrothermal,98.749999031343,1.0187500106589922,1.0417933748747341,-9.375003832647862e-05,0.8960533832617315,0.998125383777758,1.0,1.0
hrv,100.2880859375,1.002197265625,0.9919845733111563,-9.521484374999998e-06,0.9065398945437346,0.998125383777758,1.0,1.0
star,103.07873249053955,1.0276173114776608,1.02058069945466,-0.00025978231430053705,0.7882146747155684,0.9974720831469703,0.9813781191217041,1.0
nile,99.4927136876289,1.0300774611713042,0.6372921154514704,-0.00018364272334289375,0.798430564569156,0.6177412303528428,0.9194602975157969,0.8977279923499928
network,102.49996516153199,1.0249999183274996,1.0235222980690188,-0.00024999603754404697,0.882933006477226,0.9985586726790682,1.0,1.0
sunspot,100.0,1.05,1.0,0.0,0.9050720075686428,1.0,1.0,0.952160043972373
flare,99.96056166175835,1.0492361354710746,0.9985352202256624,1.9511425886150753e-06,0.8445959929416277,0.9985586726790683,1.0,1.0
co2,97.49106407180963,1.0374875545515723,1.0370809259795308,-0.0001872489453099115,0.9065698323076896,0.9996065939747121,0.9908392620773747,1.0
treering,101.48934784854858,1.0227678626673309,0.9938433689428554,-9.596472136042549e-05,0.9023177659533271,0.9990753927074988,0.9908392620773747,1.0
